Customer ID,Customer Name,Address,Country,Transaction Timestamp,Transaction Amount,Transaction Location,Payer Customer ID,Payee Customer ID,Risk Profile,Account Number,Account Type,Channel,Account Status,Base Balance,Currency
721,Jonathan Cox,"5377 Nathan Mountains, Josephfurt, TN 58400",UK,2025-04-05 22:56:04.417034,1463.65,UK,721,30,Low,100000721,Current,Online,Closed,93895.71,USD
444,Erin Werner,"70448 Sharp Coves, East Jordanside, WI 24563",USA,2025-03-21 15:36:04.087623,2793.49,USA,444,820,Medium,100000444,Savings,Online,Closed,37693.57,CAD
883,Heather Day,"98814 Dixon Turnpike, Kylemouth, CT 61742",USA,2024-10-21 19:40:04.094236,2649.75,USA,883,278,High,100000883,Current,Branch,Active,2951.34,EUR
719,Sarah Torres,"5321 Jackson Shoals, West Amandaland, OR 18923",USA,2025-05-12 14:23:04.609277,2704.83,USA,719,583,High,100000719,Savings,Online,Active,13305.43,USD
948,Carol Wilson,"20170 Henry Estate Suite 267, Stephanieport, MA 66723",USA,2024-09-29 22:11:04.088451,3560.31,USA,948,805,Low,100000948,Savings,Online,Active,90101.85,USD
434,Donna Cochran,"7022 Tammy Ports, Debraberg, IL 31495",Canada,2024-06-19 20:28:04.053871,1475.85,Canada,434,172,Medium,100000434,Fixed Deposit,Branch,Active,11011.14,GBP
186,Jonathan Evans,"6096 Robertson Lane, West Steven, SD 00645",Germany,2025-02-22 18:06:04.349002,3146.87,Germany,186,65,High,100000186,Fixed Deposit,Branch,Active,66338.42,CAD
306,Michelle Burke,"24722 Megan River Apt. 560, New Jesseshire, MP 18396",Canada,2025-05-15 05:57:04.372736,1609.21,Canada,306,428,High,100000306,Fixed Deposit,Online,Active,97609.36,GBP
346,James Richmond,"207 Laura Islands, Leachview, KY 19421",Germany,2025-03-26 14:15:04.037904,915.42,Germany,346,880,High,100000346,Fixed Deposit,ATM,Active,61969.16,GBP
677,Michelle Barrera,"37949 Mary Path, East Waltermouth, MH 72636",UK,2025-03-31 04:35:04.269358,4183.72,UK,677,582,Low,100000677,Savings,Branch,Closed,12091.85,USD
416,Keith Cummings,"03710 Lisa Rest, South Amberport, MH 48840",UK,2024-07-01 13:14:04.594929,2760.89,UK,416,577,Medium,100000416,Savings,Online,Active,45396.11,INR
637,Anna Mcdonald,"9384 Ronald Flats, West Ronnie, MT 53833",Canada,2025-01-01 02:05:04.148524,2219.35,Canada,637,789,High,100000637,Savings,Branch,Inactive,53729.11,EUR
964,Robert Walker,"Unit 9562 Box 6742, DPO AA 54021",UK,2025-05-16 14:03:04.173336,809.84,UK,964,753,Low,100000964,Fixed Deposit,Online,Inactive,39540.27,GBP
141,Sheila Atkins,"42494 Alec Lights Suite 731, Port Andrew, WI 75425",Canada,2024-11-05 17:09:04.410197,769.74,Canada,141,760,High,100000141,Savings,Mobile,Inactive,96282.28,USD
489,Laurie Baker,"9215 Vega Wells, Georgehaven, NC 33149",Canada,2024-11-15 10:51:04.145700,2563.37,Canada,489,500,Low,100000489,Fixed Deposit,Mobile,Inactive,95090.74,EUR
21,Isaac Sanders,"761 Thomas Brooks Suite 552, West Davidtown, MP 87660",USA,2025-02-08 00:18:04.270459,1804.3,USA,21,482,Low,100000021,Savings,ATM,Closed,61573.44,INR
744,Stephen Ruiz,"4914 Tyrone Viaduct, Jamiebury, KY 62632",India,2024-06-21 04:48:04.379969,473.87,India,744,807,Medium,100000744,Current,ATM,Closed,50769.32,USD
547,Bradley Gilbert,"7464 Chad Unions Apt. 122, Buckleyview, KY 63356",USA,2025-03-30 12:44:04.086414,1291.14,USA,547,586,Medium,100000547,Savings,Mobile,Closed,12242.2,USD
961,Walter Wong,"0232 Anthony Plain, Jamieside, PW 27715",India,2024-06-20 20:05:04.156805,95776.0,Unknown,961,356,High,100000961,Fixed Deposit,ATM,Closed,9197.07,EUR
487,Amy Garrett,"13648 Jennifer Villages, Davidport, IL 30601",India,2025-03-14 00:23:04.048185,1839.11,India,487,451,Low,100000487,Fixed Deposit,ATM,Inactive,5499.19,INR
350,David Williams,"75341 Andrew Summit, Lake Justin, AZ 90504",UK,2024-07-06 19:04:04.046470,2867.46,UK,350,386,High,100000350,Fixed Deposit,Online,Inactive,62960.13,GBP
162,Scott Roach,"USS Ryan, FPO AE 33340",Canada,2024-10-08 01:48:04.628827,3067.79,Canada,162,816,High,100000162,Current,Mobile,Closed,63598.28,INR
996,Vincent Collins,"9922 Copeland Pine, North Cesar, OH 29017",Germany,2024-10-18 20:33:04.455217,2090.34,Germany,996,393,High,100000996,Fixed Deposit,Branch,Closed,10066.63,INR
505,Amy Taylor,"7886 Jeffrey Rapid, South Michelle, CT 12736",Germany,2024-11-24 05:38:04.182801,4536.53,Germany,505,564,Low,100000505,Fixed Deposit,Mobile,Closed,68788.39,USD
305,Phillip Wright,"183 Sheila Fort, Williamstown, CT 78802",USA,2024-12-30 08:33:04.251784,2955.52,USA,305,886,Low,100000305,Current,ATM,Closed,72883.04,INR
349,Dylan Green,"65114 Robert Glen, Martinmouth, HI 55980",USA,2024-08-14 20:52:04.624288,26.23,USA,349,433,Low,100000349,Fixed Deposit,Online,Closed,38086.65,EUR
590,James West,"01662 Theresa Locks, Humphreyshire, FM 58965",India,2025-01-31 14:53:04.172774,474.01,India,590,899,High,100000590,Savings,Branch,Active,16038.37,USD
800,Megan Phelps,"63267 Joanne Pine Suite 852, Lake Stephenmouth, NV 07860",UK,2025-03-01 03:35:04.617545,2282.13,UK,800,15,Medium,100000800,Savings,Online,Active,92327.44,EUR
115,Heidi Hernandez,"Unit 1065 Box 1521, DPO AP 73589",India,2025-04-09 01:45:04.030613,2595.25,India,115,199,Low,100000115,Current,Online,Closed,63706.97,CAD
90,Connie Scott,"5593 Jones Islands Apt. 829, West Jerry, SC 81030",USA,2025-03-29 22:57:04.058042,2705.15,USA,90,436,Medium,100000090,Savings,Mobile,Closed,47749.28,INR
549,Diamond Pierce,"459 Anthony Drive, Smithfort, AL 35759",USA,2024-08-01 18:56:04.449453,4932.15,USA,549,683,High,100000549,Current,ATM,Inactive,52510.46,EUR
415,Ethan Salazar,"821 Armstrong Union Suite 620, South Stephanie, LA 75841",UK,2024-11-10 11:51:04.051862,2992.92,UK,415,530,Low,100000415,Fixed Deposit,Online,Closed,63551.88,GBP
107,Brian Russell,"0218 Miller Junctions, Trujilloburgh, WA 06694",Germany,2024-08-28 15:20:04.113381,2863.9,Germany,107,763,Low,100000107,Current,ATM,Inactive,41627.91,CAD
518,Raymond Gilmore,"06978 Smith Rue, North Geraldville, VT 18179",Canada,2024-07-20 10:14:04.357978,794.85,Canada,518,476,Low,100000518,Current,ATM,Closed,81244.78,CAD
985,Christopher Smith,"40769 Jennings Drive Suite 112, North Joshuaside, MO 99125",UK,2025-03-31 11:51:04.219165,3416.4,UK,985,950,High,100000985,Current,Branch,Active,73090.69,CAD
335,Justin Novak,"551 Spencer Mountain Apt. 253, New Stevenburgh, NV 82417",UK,2025-02-23 11:33:04.446122,3148.66,UK,335,347,Low,100000335,Current,Branch,Inactive,5554.26,EUR
553,Elizabeth Jacobs,"4501 Peter Land Apt. 540, New Jennifer, LA 05163",UK,2024-10-20 09:45:04.406107,4901.52,UK,553,552,Medium,100000553,Fixed Deposit,Online,Closed,55638.78,EUR
688,Christopher Chavez,"Unit 8935 Box 4279, DPO AA 99923",UK,2024-07-26 11:21:04.332554,4096.83,UK,688,224,High,100000688,Savings,Branch,Closed,28717.93,INR
501,Ernest Martin,"253 Stone Ports Suite 843, South Andrea, GA 17658",India,2024-07-22 13:55:04.263699,3094.88,India,501,16,Low,100000501,Savings,Online,Closed,70118.01,EUR
890,Laurie Compton,"8872 Fletcher Flats Suite 380, Lake Brittany, SC 14042",India,2025-02-07 14:03:04.130599,123.53,India,890,743,High,100000890,Current,Mobile,Closed,25074.05,CAD
804,Janet Brooks,"361 Rodriguez Hollow Apt. 093, Lewischester, PA 01473",USA,2024-08-16 08:27:04.673625,3661.74,USA,804,306,High,100000804,Fixed Deposit,Branch,Closed,61064.79,INR
363,Laurie Zavala,"43704 Robinson Freeway, Walterschester, MA 70080",UK,2025-02-20 12:14:04.577545,3841.83,UK,363,877,Low,100000363,Savings,ATM,Active,46367.04,INR
579,Christopher Roberts,"8816 Kirby Spurs, East Sean, FM 47510",India,2024-06-06 05:54:04.623791,1053.48,India,579,238,Medium,100000579,Fixed Deposit,Online,Closed,49719.51,GBP
592,Jason Franklin,"04920 Strickland Street, Victorialand, ID 73175",Canada,2024-08-24 10:48:04.573841,1613.35,Canada,592,946,Low,100000592,Current,Mobile,Inactive,64446.6,GBP
730,Danny Harrison,"762 Erickson Underpass Apt. 276, Cindychester, MS 11965",USA,2024-09-22 22:36:04.157288,2077.12,USA,730,242,Low,100000730,Savings,Online,Inactive,17201.94,EUR
99,Shane Romero,"57776 Jose Valley, Woodstown, NY 89997",Germany,2024-08-20 07:47:04.491800,1039.75,Germany,99,958,High,100000099,Fixed Deposit,Online,Active,3516.49,GBP
883,Heather Day,"98814 Dixon Turnpike, Kylemouth, CT 61742",USA,2024-11-01 00:55:04.437355,3072.91,USA,883,389,High,100000883,Current,Mobile,Active,2951.34,EUR
912,Jacob Meyers MD,"72738 Christina Bridge, Ronaldborough, MS 84840",Canada,2024-12-13 16:44:04.605884,3598.7,Canada,912,526,Low,100000912,Current,Mobile,Closed,27538.3,GBP
337,Nicholas Brown,"97715 John Squares, North Lisa, OH 32792",Germany,2025-06-03 11:31:04.192721,889.65,Germany,337,557,Low,100000337,Savings,Branch,Closed,85690.6,USD
159,Theresa Collins,"02791 Todd Mount, Pattersonchester, KY 35541",UK,2024-09-30 18:06:04.424209,77.67,UK,159,798,High,100000159,Current,Mobile,Closed,24526.12,CAD
943,Bridget Phillips,"PSC 0501, Box 9268, APO AP 87867",USA,2024-06-27 20:26:04.432416,4665.53,USA,943,190,Low,100000943,Savings,Online,Closed,65490.62,GBP
179,Kimberly Atkins,"7269 Dawn Lodge, South Scottshire, ID 30756",Canada,2024-08-07 18:47:04.291109,1744.0,Canada,179,720,Medium,100000179,Savings,ATM,Active,93736.27,INR
789,Melanie Harmon,"39612 Hartman Road, West Andreaton, CA 91406",Canada,2025-05-18 14:11:04.040303,2900.16,Canada,789,929,Medium,100000789,Savings,Branch,Active,46738.57,INR
590,James West,"01662 Theresa Locks, Humphreyshire, FM 58965",India,2024-06-20 13:22:04.147108,396.65,India,590,332,High,100000590,Savings,Online,Active,16038.37,USD
309,Nicholas Bell,"9480 Renee Oval Apt. 405, South Edwardtown, NY 67743",UK,2024-12-14 16:44:04.074452,2172.04,UK,309,776,Medium,100000309,Current,Branch,Closed,79723.43,INR
41,Willie Lewis,"739 Burnett Forest, Jeffreyberg, VA 89609",UK,2024-08-20 04:27:04.575713,4003.1,UK,41,175,High,100000041,Fixed Deposit,Branch,Inactive,13081.79,GBP
372,Steven Morales,"39921 Jason Common Suite 854, Williamsmouth, MO 92239",India,2025-03-12 19:21:04.095456,644.76,India,372,216,Low,100000372,Savings,Online,Active,2803.96,CAD
621,Michael Gardner,"99071 Anne Meadows Suite 538, South Maryfort, IA 67792",Germany,2024-08-29 23:12:04.084711,1324.92,Germany,621,192,Low,100000621,Fixed Deposit,ATM,Active,19267.58,GBP
876,Matthew Bailey,"256 Daniel Oval Suite 156, Michaelview, WY 72724",UK,2024-07-24 16:29:04.578805,739.36,UK,876,242,Low,100000876,Savings,Mobile,Active,16459.11,EUR
661,Jon Munoz,"56690 Key Fords, Claymouth, AL 67252",USA,2024-08-22 23:56:04.640450,1761.8,USA,661,124,Medium,100000661,Fixed Deposit,ATM,Active,36253.58,INR
621,Michael Gardner,"99071 Anne Meadows Suite 538, South Maryfort, IA 67792",Germany,2024-10-27 19:15:04.087218,1057.55,Germany,621,569,Low,100000621,Fixed Deposit,Mobile,Active,19267.58,GBP
417,Brian Aguilar,"29724 Anthony Glens, Lisafurt, PW 24744",India,2025-03-21 20:02:04.040742,578.78,India,417,670,Low,100000417,Fixed Deposit,Mobile,Active,30027.87,CAD
196,Robert Nguyen,"571 Hall Haven, Foxmouth, NV 11168",India,2024-12-10 17:59:04.390283,2737.83,India,196,486,High,100000196,Savings,Online,Inactive,35571.75,INR
16,Shelby Curtis,"44289 Jenkins Trail Apt. 926, Jordanville, IL 53596",Canada,2024-07-06 09:30:04.415946,3185.98,Canada,16,128,High,100000016,Savings,ATM,Closed,19157.05,INR
609,Janet Coleman,"12313 Vincent Islands, Powersshire, KY 26502",India,2025-02-16 21:26:04.136491,2631.24,India,609,228,Medium,100000609,Savings,ATM,Inactive,50838.31,CAD
961,Walter Wong,"0232 Anthony Plain, Jamieside, PW 27715",India,2024-06-20 20:05:04.156805,1915.52,India,961,356,Medium,100000961,Fixed Deposit,ATM,Closed,9197.07,EUR
980,Erin Greene,"4127 Alexandra Key Apt. 744, Johnmouth, VA 33761",India,2025-02-23 06:48:04.191296,2787.2,India,980,984,Low,100000980,Savings,ATM,Inactive,60087.44,CAD
250,Robert Molina,"904 Robert Islands, Michaelstad, DC 01134",USA,2024-07-20 23:54:04.104816,61225.5,Unknown,250,433,High,100000250,Fixed Deposit,ATM,Closed,85447.94,USD
332,Timothy Pratt,"7461 Baird Crossing, Port Kenneth, LA 92750",India,2025-05-18 16:11:04.588625,2734.01,India,332,188,Medium,100000332,Fixed Deposit,Mobile,Active,76026.76,GBP
509,Francis Glass DDS,"09374 Hansen Mountain Apt. 187, Lake Justinland, IL 19266",Canada,2025-02-27 22:35:04.110378,4580.83,Canada,509,186,High,100000509,Current,Branch,Closed,95030.19,CAD
960,Chris Hughes,"787 Tiffany Trail, Anthonyfort, MD 88977",Canada,2025-04-13 09:59:04.324373,3044.23,Canada,960,538,Low,100000960,Fixed Deposit,ATM,Closed,74065.33,CAD
181,Patrick Weaver,"9431 Ford Meadow Apt. 061, East Amanda, IN 07544",Germany,2025-04-16 08:24:04.451214,95301.5,Unknown,181,31,High,100000181,Fixed Deposit,Online,Closed,34765.57,USD
929,Carlos Logan,"90341 Valerie Mission Apt. 174, South Eileenfort, DE 34248",Germany,2025-01-07 06:04:04.289498,1894.41,Germany,929,873,High,100000929,Savings,Online,Active,63714.34,INR
409,Yolanda Woods,"3486 Patricia Village, Hodgesstad, NH 63394",Canada,2024-09-06 14:39:04.055992,2576.2,Canada,409,899,Medium,100000409,Fixed Deposit,Online,Inactive,90632.82,INR
440,Terry Smith,"34130 Rhonda Streets, Davidhaven, RI 94889",Germany,2024-12-02 11:32:04.084298,2084.61,Germany,440,334,High,100000440,Current,ATM,Active,9053.53,INR
356,Alex Gonzalez,"30254 Melissa Meadow Apt. 793, Lake Joseph, MA 87648",Canada,2025-04-14 22:10:04.107384,205407.49999999997,Unknown,356,191,High,100000356,Savings,Mobile,Closed,64599.51,EUR
503,Dennis Morris,"393 Anderson Passage, Dominiquechester, NE 87692",UK,2025-05-09 20:53:04.305823,4776.88,UK,503,628,High,100000503,Current,Online,Inactive,31643.23,INR
187,Leslie Gonzales,"416 Vega Fords, Lorifurt, MH 58169",USA,2024-07-17 15:56:04.219712,1605.45,USA,187,533,Medium,100000187,Savings,Mobile,Closed,81905.0,EUR
924,Richard Allen,"20516 Young Path, North Michaelshire, SD 13211",USA,2024-06-22 00:56:04.078673,2183.67,USA,924,970,High,100000924,Current,Mobile,Inactive,80185.67,GBP
484,Brian Davidson,"162 Mullen Estate Apt. 425, Barbermouth, VI 98951",India,2024-07-07 12:31:04.353715,4665.38,India,484,724,Medium,100000484,Savings,ATM,Inactive,63128.25,EUR
414,Dr. Samantha Mcpherson,"01749 Contreras Street, South Crystaltown, WV 13483",Germany,2024-10-10 03:22:04.584751,943.17,Germany,414,899,Low,100000414,Fixed Deposit,ATM,Closed,57770.35,EUR
839,Katherine Johnson,"4281 Melanie Port, Sierraview, VT 34959",USA,2024-08-16 02:55:04.273307,4337.18,USA,839,619,High,100000839,Current,Online,Active,58478.25,INR
541,Mrs. Makayla Martin,"90454 Tina Valley, Lake Dianeberg, WY 40063",UK,2024-10-01 18:25:04.429811,2940.93,UK,541,794,Low,100000541,Fixed Deposit,Mobile,Inactive,95451.05,CAD
791,Edward Mason,"9923 Parrish Corners, Garciafurt, MO 45774",Germany,2025-04-15 08:10:04.086811,4222.29,Germany,791,834,Medium,100000791,Savings,Mobile,Closed,16181.79,INR
207,John Sharp,"882 Emily Views, Andrewview, ME 29074",USA,2025-02-27 16:05:04.626250,355.58,USA,207,295,Medium,100000207,Current,Branch,Active,11045.68,INR
582,Casey Patton,"91780 Maria Junction Suite 829, Christyborough, PR 14331",USA,2024-11-29 09:24:04.129362,4015.7,USA,582,842,High,100000582,Fixed Deposit,ATM,Active,98023.22,USD
295,Larry Downs,"7062 Todd Plaza, Feliciamouth, NM 46950",UK,2025-01-22 11:34:04.586666,189.1,UK,295,290,Medium,100000295,Current,ATM,Inactive,13578.99,GBP
145,Brendan Young,"71153 Barry Mountains Apt. 718, East Jennifer, WY 67623",UK,2025-03-17 13:49:04.133212,3796.32,UK,145,674,High,100000145,Current,Branch,Closed,29199.21,USD
792,Ana Allen,"PSC 2633, Box 7005, APO AE 96124",India,2025-03-01 14:03:04.292785,4923.69,India,792,143,Low,100000792,Fixed Deposit,ATM,Inactive,59036.75,USD
865,Michael Abbott,"8657 Wade Drive Suite 221, Lake Jenna, NE 53240",India,2025-03-21 00:54:04.389196,1632.89,India,865,509,High,100000865,Savings,Online,Closed,40675.54,CAD
297,Cheryl Perez,"9477 Schaefer Cape Apt. 807, Anitaborough, MA 34394",Canada,2025-01-01 08:00:04.672168,2228.58,Canada,297,853,Low,100000297,Fixed Deposit,Online,Inactive,77229.36,INR
330,Michelle Rivera,"2503 Osborne Field Suite 770, Lake Nathan, ID 75441",Germany,2025-05-01 05:17:04.093017,3781.27,Germany,330,870,Low,100000330,Current,ATM,Closed,25525.37,INR
714,Deborah Burns,"8079 Greer Keys, Jenniferborough, AK 48708",USA,2024-12-20 14:50:04.675626,371.82,USA,714,108,Medium,100000714,Savings,Mobile,Inactive,41772.25,INR
484,Brian Davidson,"162 Mullen Estate Apt. 425, Barbermouth, VI 98951",India,2024-07-14 13:05:04.131899,2762.69,India,484,785,Medium,100000484,Savings,Branch,Inactive,63128.25,EUR
400,Ryan Bryant,"PSC 9353, Box 5800, APO AA 72373",Canada,2024-06-15 15:43:04.354251,490.62,Canada,400,427,Low,100000400,Savings,Mobile,Active,75699.74,EUR
286,Amber Gilmore,"366 William Canyon Suite 234, Lindseytown, AK 81291",India,2024-06-28 05:11:04.031472,2063.98,India,286,298,Low,100000286,Fixed Deposit,Online,Active,4558.29,CAD
355,Katrina Bailey,"692 Bennett Mountain Apt. 867, Huntshire, VT 65415",Canada,2025-04-11 15:00:04.609969,4438.45,Canada,355,526,Low,100000355,Fixed Deposit,Branch,Closed,7986.31,CAD
699,Joel Stout,"344 Mary Stream Apt. 106, Lake Leahchester, ND 70987",Canada,2024-07-14 22:15:04.113794,2487.19,Canada,699,493,Low,100000699,Savings,ATM,Closed,16281.91,GBP
161,Anna Green,"984 Cassandra Brook Suite 930, New Alison, MT 73527",UK,2024-10-04 22:27:04.102354,2556.19,UK,161,970,Medium,100000161,Current,Branch,Active,37410.53,INR
372,Steven Morales,"39921 Jason Common Suite 854, Williamsmouth, MO 92239",India,2025-02-26 11:16:04.421647,3132.57,India,372,527,Low,100000372,Savings,Online,Active,2803.96,CAD
166,Chelsea King,"00803 Connie Trail, Pattersonshire, CA 65834",USA,2024-09-28 14:48:04.127635,1896.71,USA,166,674,Medium,100000166,Savings,ATM,Inactive,83694.95,EUR
534,Carl Barr,"09965 Rogers Roads Apt. 674, East Shelbyville, LA 52030",USA,2024-09-08 11:29:04.667313,3793.98,USA,534,922,High,100000534,Current,Mobile,Inactive,55987.74,USD
445,Tammy Cummings,"USNS Cooper, FPO AP 91838",UK,2024-09-12 15:37:04.453227,796.28,UK,445,677,High,100000445,Fixed Deposit,Branch,Inactive,81467.16,CAD
832,Hunter Aguilar,"9394 Carroll Overpass Suite 465, Roberttown, PW 95089",USA,2024-06-30 06:39:04.431435,4270.88,USA,832,309,Medium,100000832,Current,Online,Closed,45791.51,CAD
603,Thomas Baker,"61655 Gutierrez Overpass Apt. 447, Welchhaven, RI 72895",India,2024-08-18 02:01:04.595463,3854.02,India,603,539,High,100000603,Savings,Online,Inactive,18524.04,EUR
477,Nathan Ramirez,"348 Heidi Bypass Suite 379, West Misty, AS 78208",Canada,2024-12-29 09:49:04.603000,112409.99999999999,Unknown,477,754,High,100000477,Fixed Deposit,Mobile,Active,8305.86,GBP
107,Brian Russell,"0218 Miller Junctions, Trujilloburgh, WA 06694",Germany,2025-06-06 04:26:04.227440,1702.22,Germany,107,199,Low,100000107,Current,Branch,Inactive,41627.91,CAD
924,Richard Allen,"20516 Young Path, North Michaelshire, SD 13211",USA,2024-07-22 07:09:04.310320,1544.75,USA,924,829,High,100000924,Current,Branch,Inactive,80185.67,GBP
957,Ryan Burke,"85357 Diane Pike, New Markbury, VT 47724",India,2024-10-06 14:24:04.095852,184.74,India,957,66,Low,100000957,Savings,Online,Inactive,52372.85,GBP
825,Angel Brown,"215 Mendoza Greens, West Michael, NM 72073",USA,2024-07-28 23:42:04.225414,194078.0,Unknown,825,905,High,100000825,Fixed Deposit,ATM,Active,54202.16,USD
395,Amanda Martinez,"USNV Ruiz, FPO AE 14345",USA,2025-03-23 17:25:04.149045,175.97,USA,395,639,Low,100000395,Current,Mobile,Active,34739.55,INR
700,Joe Williams,"11189 Kevin Cape Apt. 048, Lauraton, SD 86385",India,2025-02-21 18:10:04.516935,1968.47,India,700,650,Medium,100000700,Savings,ATM,Inactive,48632.87,INR
237,Jamie Hardin,"34667 Bradley Green Apt. 039, Ginachester, MS 35754",UK,2024-06-20 17:34:04.021086,2787.89,UK,237,886,Low,100000237,Fixed Deposit,Online,Inactive,28796.46,USD
791,Edward Mason,"9923 Parrish Corners, Garciafurt, MO 45774",Germany,2025-05-02 18:47:04.075339,3967.68,Germany,791,265,Medium,100000791,Savings,Mobile,Closed,16181.79,INR
598,Donald Stevenson,"45371 Winters Tunnel Suite 446, Port Colleenhaven, ID 31032",Canada,2024-11-19 19:09:04.602040,978.4,Canada,598,167,Low,100000598,Fixed Deposit,Mobile,Active,18059.67,CAD
681,Richard Nguyen,"461 Ashley Stream Apt. 641, Deborahmouth, AZ 08500",USA,2025-04-18 01:57:04.055550,618.77,USA,681,621,High,100000681,Current,Online,Closed,81890.14,INR
971,Valerie Huber,"153 Butler Branch Apt. 760, Hernandezstad, FM 48418",Germany,2025-05-14 21:30:04.019201,4181.66,Germany,971,499,High,100000971,Fixed Deposit,Mobile,Active,66703.45,USD
414,Dr. Samantha Mcpherson,"01749 Contreras Street, South Crystaltown, WV 13483",Germany,2024-11-23 14:42:04.154632,4901.75,Germany,414,237,Low,100000414,Fixed Deposit,Online,Closed,57770.35,EUR
119,Stephen Griffin,"034 Shane Well, Lake Jennifertown, NV 97539",USA,2024-06-16 18:32:04.616025,3786.58,USA,119,472,High,100000119,Current,Branch,Active,89363.34,GBP
851,Kimberly Elliott,"24914 Buck Crescent Apt. 514, New Kristenland, IL 23296",India,2024-12-28 12:06:04.160274,4263.32,India,851,994,High,100000851,Current,Branch,Active,7640.57,GBP
483,Joe Gilbert,"506 Joshua Center Suite 700, Gonzalesborough, IA 70424",USA,2024-06-20 01:58:04.083024,4833.59,USA,483,404,Medium,100000483,Savings,Online,Active,45999.57,GBP
930,Michael Carter Jr.,"80401 Kelly Hollow, Stuartmouth, NE 48286",USA,2024-12-03 01:41:04.644298,1637.58,USA,930,933,High,100000930,Current,ATM,Closed,26530.88,INR
931,William Washington,"375 Marks Fords, Lake Paulafort, VA 97704",Germany,2024-10-01 11:41:04.151653,2384.22,Germany,931,562,High,100000931,Savings,Mobile,Closed,14796.25,USD
258,Audrey Johnson,"32188 Cody Camp Suite 682, Deniseland, KS 09585",Canada,2025-05-08 21:05:04.139889,2801.95,Canada,258,81,Low,100000258,Current,Branch,Inactive,69906.95,INR
427,Karla Banks,"Unit 6358 Box 2277, DPO AP 04421",Germany,2024-11-28 13:52:04.062425,1740.56,Germany,427,184,High,100000427,Current,Branch,Inactive,44711.52,EUR
113,Anthony Arnold,"PSC 4233, Box 3656, APO AE 35739",Canada,2024-08-19 15:42:04.298986,2609.44,Canada,113,39,Low,100000113,Savings,ATM,Active,93040.07,EUR
265,Matthew Landry,"90872 Lopez Mission Suite 839, Nguyenberg, VI 21097",Canada,2024-08-28 06:27:04.010446,1350.31,Canada,265,990,High,100000265,Fixed Deposit,ATM,Active,87859.93,USD
